timestamp,response_time,http_code,result,payload_type,is_allowed,blocking_findings,non_blocking_findings,user_id
1741554234461,79.50592041015625,200,ALLOWED,dummy,True,0,2,53
1741554234478,71.66790962219238,200,ALLOWED,clean,True,0,0,7
1741554232689,1873.3291625976562,200,BLOCKED,real,False,1,1,87
1741554234501,73.29010963439941,200,ALLOWED,dummy,True,0,2,80
1741554233296,1286.8070602416992,200,BLOCKED,real,False,1,1,68
1741554234032,580.5549621582031,200,BLOCKED,real,False,1,1,4
1741554233727,899.4035720825195,200,BLOCKED,real,False,1,1,36
1741554234542,89.98918533325195,200,ALLOWED,clean,True,0,0,33
1741554234571,112.77008056640625,200,ALLOWED,clean,True,0,0,82
1741554231919,2775.7740020751953,200,BLOCKED,real,False,1,1,22
1741554234574,123.0311393737793,200,ALLOWED,clean,True,0,0,51
1741554234591,108.97088050842285,200,ALLOWED,clean,True,0,0,53
1741554234600,100.1129150390625,200,ALLOWED,clean,True,0,0,7
1741554234613,87.87202835083008,200,ALLOWED,clean,True,0,0,87
1741554234556,147.07016944885254,200,ALLOWED,dummy,True,0,2,37
1741554234633,90.29197692871094,200,ALLOWED,dummy,True,0,2,68
1741554234663,65.28496742248535,200,ALLOWED,clean,True,0,0,4
1741554232934,1794.7790622711182,200,BLOCKED,real,False,1,1,61
1741554234624,104.24590110778809,200,ALLOWED,clean,True,0,0,80
1741554232897,1838.122844696045,200,BLOCKED,real,False,1,1,10
1741554234683,77.19111442565918,200,ALLOWED,clean,True,0,0,33
1741554230225,4535.36057472229,200,BLOCKED,real,False,1,1,93
1741554233186,1608.5190773010254,200,BLOCKED,real,False,1,1,5
1741554230348,4464.759111404419,200,BLOCKED,real,False,1,1,18
1741554234745,100.53491592407227,200,ALLOWED,clean,True,0,0,22
1741554230348,4526.818037033081,200,BLOCKED,real,False,1,1,55
1741554234779,98.63495826721191,200,ALLOWED,dummy,True,0,2,4
1741554234753,127.60782241821289,200,ALLOWED,clean,True,0,0,37
1741554234747,136.61909103393555,200,ALLOWED,clean,True,0,0,51
1741554234751,138.20481300354004,200,ALLOWED,dummy,True,0,2,7
1741554229744,5168.755054473877,200,BLOCKED,real,False,1,1,52
1741554234779,140.40017127990723,200,ALLOWED,dummy,True,0,2,80
1741554234779,153.36179733276367,200,ALLOWED,clean,True,0,0,61
1741554234785,159.47532653808594,200,ALLOWED,clean,True,0,0,10
1741554230421,4525.382995605469,200,BLOCKED,real,False,1,1,90
1741554234845,106.60314559936523,200,ALLOWED,clean,True,0,0,5
1741554234811,147.43995666503906,200,ALLOWED,dummy,True,0,2,93
1741554231511,3455.2149772644043,200,BLOCKED,real,False,1,1,59
1741554233146,1856.7490577697754,200,BLOCKED,real,False,1,1,77
1741554234934,119.27318572998047,200,ALLOWED,clean,True,0,0,51
1741554234932,127.10332870483398,200,ALLOWED,clean,True,0,0,37
1741554232194,2868.104934692383,200,BLOCKED,real,False,1,1,94
1741554234896,166.66889190673828,200,ALLOWED,dummy,True,0,2,22
1741554234939,128.65304946899414,200,ALLOWED,clean,True,0,0,7
1741554234963,111.95087432861328,200,ALLOWED,dummy,True,0,2,52
1741554234925,151.39198303222656,200,ALLOWED,dummy,True,0,2,55
1741554234983,95.22032737731934,200,ALLOWED,clean,True,0,0,61
1741554234995,84.88821983337402,200,ALLOWED,dummy,True,0,2,10
